AGEP,COW,MAR,SCHL,SEX,WKHP,WKWN,ESR,OCCP,PERNP,OCCP_GROUP,COW_GROUP,HIGH_EARNER
64,2.0,1,20.0,2,50.0,52.0,1.0,5860.0,53000.0,Sales_Office_Admin,Private_NonProfit,0
49,1.0,1,23.0,1,50.0,52.0,1.0,1800.0,614000.0,STEM_Science_Architecture,Private_ForProfit,1
51,7.0,1,20.0,2,35.0,52.0,1.0,4850.0,30000.0,Sales_Office_Admin,Self_Employed_Inc,0
31,1.0,5,22.0,1,40.0,52.0,1.0,440.0,120000.0,Management_Business_Finance,Private_ForProfit,1
44,1.0,1,16.0,1,40.0,52.0,1.0,9600.0,45000.0,Transportation_Material_Moving,Private_ForProfit,0
59,3.0,1,21.0,1,40.0,52.0,1.0,3710.0,120000.0,Protective_Service,Local_Gov,1
21,3.0,5,17.0,2,40.0,12.0,1.0,2545.0,4500.0,Education_Legal_Social,Local_Gov,0
22,1.0,5,21.0,2,35.0,52.0,1.0,3255.0,12000.0,Healthcare,Private_ForProfit,0
36,1.0,5,19.0,2,40.0,52.0,1.0,5100.0,40800.0,Sales_Office_Admin,Private_ForProfit,0
48,6.0,1,21.0,2,40.0,52.0,1.0,2710.0,38400.0,Arts_Media_Design,Self_Employed_NotInc,0
69,1.0,1,16.0,1,35.0,52.0,1.0,9130.0,35000.0,Transportation_Material_Moving,Private_ForProfit,0
39,3.0,1,20.0,1,48.0,52.0,1.0,3740.0,122100.0,Protective_Service,Local_Gov,1
64,6.0,1,16.0,1,60.0,52.0,1.0,205.0,68000.0,Management_Business_Finance,Self_Employed_NotInc,0
47,3.0,1,16.0,1,40.0,52.0,1.0,3870.0,88000.0,Protective_Service,Local_Gov,0
70,1.0,1,16.0,2,40.0,52.0,1.0,9620.0,32000.0,Transportation_Material_Moving,Private_ForProfit,0
48,1.0,1,16.0,1,50.0,52.0,1.0,6200.0,91000.0,Construction_Extraction_Farming,Private_ForProfit,1
70,7.0,1,12.0,2,40.0,52.0,1.0,10.0,185000.0,Management_Business_Finance,Self_Employed_Inc,1
24,1.0,5,19.0,1,35.0,52.0,1.0,4110.0,35000.0,Service_Food_Personal_Cleaning,Private_ForProfit,0
35,1.0,1,22.0,1,50.0,52.0,1.0,4700.0,85000.0,Sales_Office_Admin,Private_ForProfit,0
49,5.0,1,21.0,2,40.0,52.0,1.0,3310.0,44000.0,Healthcare,Federal_Gov,0
60,1.0,1,20.0,2,40.0,52.0,1.0,5240.0,40000.0,Sales_Office_Admin,Private_ForProfit,0
47,1.0,1,19.0,2,40.0,52.0,1.0,5940.0,100000.0,Sales_Office_Admin,Private_ForProfit,1
21,1.0,5,19.0,1,35.0,52.0,1.0,4055.0,40000.0,Service_Food_Personal_Cleaning,Private_ForProfit,0
30,4.0,5,21.0,2,50.0,52.0,1.0,2310.0,40800.0,Education_Legal_Social,State_Gov,0
47,1.0,1,19.0,2,45.0,52.0,1.0,2300.0,30000.0,Education_Legal_Social,Private_ForProfit,0
33,6.0,5,19.0,1,45.0,52.0,1.0,4710.0,25000.0,Sales_Office_Admin,Self_Employed_NotInc,0
33,1.0,5,21.0,1,40.0,52.0,1.0,440.0,73000.0,Management_Business_Finance,Private_ForProfit,0
28,3.0,1,21.0,2,50.0,52.0,1.0,2320.0,85000.0,Education_Legal_Social,Local_Gov,0
65,1.0,1,21.0,2,45.0,52.0,1.0,4710.0,110000.0,Sales_Office_Admin,Private_ForProfit,1
46,4.0,2,21.0,2,40.0,52.0,1.0,2310.0,68000.0,Education_Legal_Social,State_Gov,0
24,1.0,5,21.0,1,40.0,52.0,1.0,735.0,35000.0,Management_Business_Finance,Private_ForProfit,0
55,1.0,1,18.0,2,50.0,52.0,1.0,735.0,110000.0,Management_Business_Finance,Private_ForProfit,1
30,3.0,1,18.0,2,40.0,52.0,1.0,5740.0,25000.0,Sales_Office_Admin,Local_Gov,0
37,1.0,1,21.0,2,40.0,52.0,1.0,4920.0,200000.0,Sales_Office_Admin,Private_ForProfit,1
60,1.0,5,21.0,1,40.0,52.0,1.0,1410.0,200000.0,STEM_Science_Architecture,Private_ForProfit,1
43,1.0,1,19.0,1,40.0,52.0,1.0,7340.0,100000.0,Installation_Maintenance_Repair,Private_ForProfit,1
25,4.0,5,21.0,2,40.0,52.0,1.0,2545.0,8000.0,Education_Legal_Social,State_Gov,0
49,1.0,1,21.0,1,50.0,52.0,1.0,710.0,10000.0,Management_Business_Finance,Private_ForProfit,0
44,1.0,5,21.0,2,40.0,52.0,1.0,2310.0,70000.0,Education_Legal_Social,Private_ForProfit,0
33,1.0,5,16.0,1,60.0,52.0,1.0,440.0,150000.0,Management_Business_Finance,Private_ForProfit,1
45,1.0,1,12.0,1,40.0,52.0,1.0,6410.0,30000.0,Construction_Extraction_Farming,Private_ForProfit,0
40,1.0,1,22.0,1,40.0,52.0,1.0,4710.0,172000.0,Sales_Office_Admin,Private_ForProfit,1
61,2.0,1,23.0,2,60.0,52.0,1.0,2100.0,90000.0,Education_Legal_Social,Private_NonProfit,1
43,1.0,3,17.0,1,45.0,52.0,1.0,440.0,40000.0,Management_Business_Finance,Private_ForProfit,0
71,2.0,3,22.0,2,50.0,52.0,1.0,726.0,100000.0,Management_Business_Finance,Private_NonProfit,1
46,1.0,1,20.0,1,40.0,52.0,1.0,9645.0,45000.0,Transportation_Material_Moving,Private_ForProfit,0
54,3.0,1,19.0,2,40.0,52.0,1.0,440.0,42000.0,Management_Business_Finance,Local_Gov,0
34,6.0,3,21.0,2,40.0,52.0,1.0,3255.0,92000.0,Healthcare,Self_Employed_NotInc,1
32,2.0,5,21.0,1,45.0,52.0,1.0,420.0,12000.0,Management_Business_Finance,Private_NonProfit,0
53,5.0,1,22.0,2,40.0,52.0,1.0,3255.0,162000.0,Healthcare,Federal_Gov,1
51,1.0,2,16.0,1,40.0,52.0,1.0,6200.0,54000.0,Construction_Extraction_Farming,Private_ForProfit,0
45,2.0,5,21.0,2,40.0,36.0,1.0,2050.0,32000.0,Education_Legal_Social,Private_NonProfit,0
68,2.0,3,17.0,2,42.0,52.0,1.0,5420.0,33000.0,Sales_Office_Admin,Private_NonProfit,0
42,1.0,1,11.0,1,40.0,52.0,1.0,6515.0,27000.0,Construction_Extraction_Farming,Private_ForProfit,0
50,1.0,1,21.0,2,40.0,52.0,1.0,4965.0,54000.0,Sales_Office_Admin,Private_ForProfit,0
61,1.0,1,16.0,1,40.0,52.0,1.0,8990.0,50000.0,Production_Manufacturing,Private_ForProfit,0
20,1.0,5,16.0,1,40.0,50.0,1.0,9620.0,24000.0,Transportation_Material_Moving,Private_ForProfit,0
62,5.0,1,16.0,2,40.0,52.0,1.0,630.0,27600.0,Management_Business_Finance,Federal_Gov,0
33,1.0,1,21.0,2,40.0,52.0,1.0,3255.0,75000.0,Healthcare,Private_ForProfit,0
54,1.0,1,22.0,1,42.0,52.0,1.0,1530.0,150000.0,STEM_Science_Architecture,Private_ForProfit,1
50,1.0,1,18.0,1,46.0,52.0,1.0,8030.0,43100.0,Production_Manufacturing,Private_ForProfit,0
